Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players,Sentiment Score,Sentiment
Sid Meier’s Civilization VI,46.3,Everyone 10+,56.32,Switch,No,Innersloth,Valve,2011,Role-Playing Game,No,57.2,Medium,Good,Poor,"Amazing game, but too many bugs.",Offline,3,0.23333333333333336,Positive
Tetris,23.6,Everyone,30.93,PS4,Yes,EA Sports,Square Enix,2013,Puzzle,Yes,33.3,High,Average,Excellent,"Disappointing game, but too many bugs.",Online,4,-0.16666666666666666,Neutral
1000-Piece Puzzle,25.5,Everyone,49.92,PC,Yes,CD Projekt Red,Epic Games,2020,Adventure,No,7.2,Low,Excellent,Good,"Disappointing game, but the gameplay is amazing.",Offline,3,-0.1333333333333333,Neutral
Bioshock Infinite,37.3,Everyone,49.87,PS4,No,Game Freak,Electronic Arts,2011,Party,Yes,37.2,Medium,Average,Excellent,"Solid game, but the graphics could be better.",Online,3,0.033333333333333326,Neutral
Call of Duty: Modern Warfare 2,15.6,Everyone 10+,29.06,Android/iOS,Yes,Valve,Electronic Arts,2019,Adventure,Yes,6.3,Medium,Good,Good,"Disappointing game, but the graphics could be better.",Offline,10,-0.16666666666666666,Neutral
Call of Duty: Modern Warfare 2,25.0,Teen,28.1,Xbox,No,Game Freak,Square Enix,2020,Strategy,Yes,36.5,Ultra,Poor,Poor,"Disappointing game, but the graphics could be better.",Offline,5,-0.16666666666666666,Neutral
The Witcher 3: Wild Hunt,37.1,Everyone,54.73,Xbox,Yes,Capcom,Innersloth,2018,Fighting,Yes,30.5,Low,Good,Excellent,"Amazing game, but the graphics could be better.",Offline,8,0.23333333333333336,Positive
Hitman 3,31.3,Mature,25.51,Switch,Yes,Valve,Take-Two Interactive,2023,Adventure,No,56.5,Medium,Good,Average,"Amazing game, but the gameplay is amazing.",Offline,6,0.2666666666666667,Positive
Fall Guys,41.7,Teen,49.4,Android/iOS,Yes,Capcom,Nintendo,2021,Fighting,No,56.6,Medium,Excellent,Average,"Great game, but the graphics could be better.",Offline,7,0.3,Positive
Bioshock Infinite,29.2,Teen,45.77,PS4,Yes,Game Freak,Take-Two Interactive,2023,Adventure,No,24.2,High,Excellent,Excellent,"Disappointing game, but too many bugs.",Online,5,-0.16666666666666666,Neutral
Call of Duty: Modern Warfare 2,23.7,Everyone,41.99,PC,Yes,Rockstar Games,Valve,2018,Adventure,Yes,8.1,Medium,Excellent,Average,"Great game, but the gameplay is amazing.",Offline,3,0.3333333333333333,Positive
Half-Life: Alyx,29.1,Mature,39.66,Xbox,No,Epic Games,Electronic Arts,2018,Party,Yes,26.7,High,Average,Good,"Disappointing game, but too many bugs.",Offline,5,-0.16666666666666666,Neutral
Spelunky 2,19.4,Mature,25.85,Xbox,No,CD Projekt Red,Valve,2015,Party,Yes,15.1,Low,Poor,Poor,"Amazing game, but too many bugs.",Offline,7,0.23333333333333336,Positive
Rocket League,28.1,Everyone,35.93,PC,No,Epic Games,Square Enix,2020,Adventure,No,28.6,Low,Poor,Excellent,"Disappointing game, but too many bugs.",Offline,1,-0.16666666666666666,Neutral
Tetris,13.2,Mature,21.5,PC,No,Capcom,Electronic Arts,2017,Simulation,No,5.4,High,Good,Excellent,"Disappointing game, but too many bugs.",Online,10,-0.16666666666666666,Neutral
Tekken 7,16.3,Mature,24.13,Android/iOS,Yes,CD Projekt Red,Activision,2016,Adventure,No,19.8,Medium,Excellent,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,8,-0.1333333333333333,Neutral
The Legend of Zelda: Breath of the Wild,30.5,Everyone 10+,39.51,Switch,Yes,Epic Games,Take-Two Interactive,2011,Shooter,No,36.1,Ultra,Good,Good,"Amazing game, but the graphics could be better.",Online,1,0.23333333333333336,Positive
FIFA 24,40.0,Everyone 10+,48.02,Android/iOS,No,Epic Games,Capcom,2021,Action,No,49.7,Ultra,Poor,Poor,"Disappointing game, but too many bugs.",Offline,6,-0.16666666666666666,Neutral
Minecraft,48.1,Everyone 10+,58.08,Xbox,No,Valve,Square Enix,2014,Action,No,57.8,High,Poor,Average,"Great game, but the gameplay is amazing.",Offline,7,0.3333333333333333,Positive
Fortnite,28.6,Everyone 10+,48.91,PS4,No,CD Projekt Red,Activision,2013,Fighting,Yes,10.0,Ultra,Good,Excellent,"Great game, but the gameplay is amazing.",Offline,5,0.3333333333333333,Positive
Street Fighter V,23.8,Everyone,35.97,PC,No,Capcom,Electronic Arts,2012,Role-Playing Game,Yes,21.6,Ultra,Average,Poor,"Solid game, but too many bugs.",Online,6,0.033333333333333326,Neutral
The Elder Scrolls V: Skyrim,25.7,Mature,32.74,Xbox,Yes,Game Freak,Capcom,2019,Puzzle,No,29.0,Medium,Good,Good,"Solid game, but the gameplay is amazing.",Offline,6,0.0666666666666667,Neutral
Hitman 3,29.3,Teen,27.66,Xbox,No,Bungie,Capcom,2021,Role-Playing Game,Yes,57.5,Low,Excellent,Average,"Amazing game, but too many bugs.",Offline,7,0.23333333333333336,Positive
Pillars of Eternity II: Deadfire,16.3,Everyone 10+,26.36,Xbox,Yes,Capcom,Electronic Arts,2010,Party,Yes,8.0,Ultra,Average,Poor,"Solid game, but the gameplay is amazing.",Online,10,0.0666666666666667,Neutral
Hades,22.3,Everyone,23.28,Android/iOS,No,Capcom,Electronic Arts,2016,Puzzle,No,29.9,High,Average,Good,"Disappointing game, but the gameplay is amazing.",Offline,4,-0.1333333333333333,Neutral
The Legend of Zelda: Breath of the Wild,34.0,Teen,52.55,Xbox,No,Innersloth,Innersloth,2020,Simulation,Yes,25.7,Medium,Excellent,Average,"Disappointing game, but the graphics could be better.",Online,4,-0.16666666666666666,Neutral
Sid Meier’s Civilization VI,25.9,Everyone 10+,45.91,PC,No,Rockstar Games,Valve,2012,Fighting,Yes,12.5,Ultra,Good,Poor,"Great game, but too many bugs.",Online,1,0.3,Positive
Mario Kart 8 Deluxe,35.3,Mature,54.41,Android/iOS,Yes,Bungie,Innersloth,2011,Sports,Yes,29.1,High,Good,Poor,"Disappointing game, but too many bugs.",Offline,3,-0.16666666666666666,Neutral
Spelunky 2,21.2,Everyone 10+,30.33,PS4,No,Valve,Valve,2021,Strategy,Yes,14.4,Low,Good,Good,"Disappointing game, but the gameplay is amazing.",Offline,2,-0.1333333333333333,Neutral
Pillars of Eternity II: Deadfire,27.6,Teen,22.68,Android/iOS,No,EA Sports,Innersloth,2011,Party,No,53.5,Ultra,Good,Excellent,"Great game, but the graphics could be better.",Online,2,0.3,Positive
Super Smash Bros. Ultimate,22.5,Teen,38.44,Android/iOS,No,Nintendo,Innersloth,2021,Shooter,Yes,12.2,Ultra,Poor,Good,"Great game, but the gameplay is amazing.",Online,6,0.3333333333333333,Positive
Overwatch 2,18.3,Teen,26.95,PS4,No,EA Sports,Capcom,2023,Simulation,Yes,18.8,Medium,Poor,Good,"Great game, but too many bugs.",Offline,4,0.3,Positive
Just Dance 2024,28.1,Teen,28.82,Xbox,No,Nintendo,Valve,2023,Party,Yes,47.8,Ultra,Poor,Average,"Amazing game, but the graphics could be better.",Online,7,0.23333333333333336,Positive
Halo Infinite,34.3,Everyone,39.69,PC,Yes,Epic Games,Electronic Arts,2012,Shooter,Yes,44.3,Low,Poor,Average,"Disappointing game, but the graphics could be better.",Offline,8,-0.16666666666666666,Neutral
Kingdom Hearts III,34.5,Teen,42.57,Switch,Yes,Innersloth,Take-Two Interactive,2011,Adventure,Yes,49.5,High,Average,Average,"Amazing game, but too many bugs.",Online,5,0.23333333333333336,Positive
Among Us,37.6,Teen,59.02,PS4,Yes,EA Sports,Valve,2017,Action,Yes,23.0,High,Poor,Excellent,"Solid game, but the gameplay is amazing.",Online,2,0.0666666666666667,Neutral
The Witcher 3: Wild Hunt,18.0,Everyone 10+,25.87,Android/iOS,No,CD Projekt Red,Square Enix,2012,Adventure,Yes,15.3,Low,Poor,Average,"Disappointing game, but too many bugs.",Online,2,-0.16666666666666666,Neutral
Rocket League,29.9,Mature,50.19,PS4,Yes,Rockstar Games,Innersloth,2019,Adventure,No,22.2,Low,Poor,Poor,"Solid game, but the graphics could be better.",Offline,4,0.033333333333333326,Neutral
Stardew Valley,17.2,Teen,26.28,Switch,No,Game Freak,Square Enix,2010,Fighting,No,14.2,Low,Good,Excellent,"Solid game, but the gameplay is amazing.",Online,10,0.0666666666666667,Neutral
Fortnite,18.0,Everyone 10+,26.11,PC,No,Capcom,Valve,2010,Shooter,Yes,23.0,Ultra,Excellent,Poor,"Solid game, but too many bugs.",Online,7,0.033333333333333326,Neutral
Hitman 3,30.8,Everyone,31.07,PS4,Yes,Capcom,Electronic Arts,2013,Puzzle,No,56.1,Ultra,Excellent,Good,"Great game, but the gameplay is amazing.",Online,8,0.3333333333333333,Positive
The Witcher 3: Wild Hunt,27.2,Everyone,39.65,PS4,Yes,Innersloth,Epic Games,2013,Fighting,No,29.0,High,Excellent,Poor,"Amazing game, but the gameplay is amazing.",Online,6,0.2666666666666667,Positive
Red Dead Redemption 2,28.1,Teen,25.38,Xbox,No,Bungie,Innersloth,2023,Role-Playing Game,No,51.9,Medium,Good,Good,"Disappointing game, but the graphics could be better.",Offline,3,-0.16666666666666666,Neutral
The Sims 4,34.8,Mature,56.2,Xbox,No,Bungie,Square Enix,2011,Adventure,Yes,21.9,Low,Average,Excellent,"Solid game, but the gameplay is amazing.",Online,8,0.0666666666666667,Neutral
The Legend of Zelda: Breath of the Wild,32.1,Teen,56.06,PS4,Yes,Rockstar Games,Activision,2010,Simulation,No,16.6,Low,Average,Poor,"Amazing game, but too many bugs.",Online,6,0.23333333333333336,Positive
Sid Meier’s Civilization VI,25.0,Mature,24.34,Android/iOS,Yes,Nintendo,Capcom,2017,Role-Playing Game,No,42.1,Low,Average,Poor,"Great game, but the gameplay is amazing.",Online,6,0.3333333333333333,Positive
Street Fighter V,32.9,Teen,51.17,Switch,No,Capcom,Electronic Arts,2016,Party,No,19.8,High,Good,Excellent,"Great game, but the gameplay is amazing.",Online,3,0.3333333333333333,Positive
The Sims 4,45.1,Teen,59.79,Android/iOS,Yes,Valve,Nintendo,2019,Action,No,55.3,Medium,Good,Average,"Amazing game, but the graphics could be better.",Offline,1,0.23333333333333336,Positive
Stardew Valley,31.4,Everyone 10+,27.88,PS4,Yes,Bungie,Epic Games,2018,Strategy,No,52.3,High,Excellent,Poor,"Solid game, but the graphics could be better.",Offline,3,0.033333333333333326,Neutral
Tetris,33.6,Teen,50.59,PS4,No,Innersloth,Square Enix,2014,Fighting,No,33.3,Medium,Average,Poor,"Solid game, but the gameplay is amazing.",Online,8,0.0666666666666667,Neutral
Ghost of Tsushima,23.7,Mature,31.24,Xbox,Yes,EA Sports,Capcom,2018,Simulation,No,28.0,Ultra,Poor,Average,"Solid game, but the graphics could be better.",Offline,8,0.033333333333333326,Neutral
League of Legends,23.1,Everyone,40.01,PC,No,Valve,Valve,2016,Puzzle,No,15.9,High,Good,Good,"Great game, but the graphics could be better.",Online,2,0.3,Positive
Bioshock Infinite,32.2,Teen,33.97,Switch,Yes,Capcom,Nintendo,2021,Shooter,Yes,48.0,Medium,Average,Poor,"Great game, but too many bugs.",Online,10,0.3,Positive
Ghost of Tsushima,21.6,Mature,28.28,Switch,No,Capcom,Capcom,2012,Fighting,Yes,19.6,Ultra,Average,Average,"Solid game, but too many bugs.",Offline,7,0.033333333333333326,Neutral
Super Mario Odyssey,29.5,Everyone 10+,42.33,Switch,Yes,Innersloth,Square Enix,2011,Role-Playing Game,Yes,31.2,Ultra,Average,Good,"Great game, but the gameplay is amazing.",Offline,6,0.3333333333333333,Positive
Among Us,18.2,Mature,21.5,PS4,No,Bungie,Capcom,2020,Fighting,No,24.0,Medium,Poor,Average,"Solid game, but the gameplay is amazing.",Online,6,0.0666666666666667,Neutral
Rocket League,37.4,Everyone 10+,51.05,Xbox,No,Innersloth,Electronic Arts,2018,Adventure,Yes,42.4,Ultra,Excellent,Excellent,"Amazing game, but the graphics could be better.",Online,4,0.23333333333333336,Positive
Fall Guys,31.7,Teen,37.36,Android/iOS,No,Valve,Valve,2018,Sports,No,46.5,High,Excellent,Good,"Disappointing game, but the gameplay is amazing.",Offline,10,-0.1333333333333333,Neutral
1000-Piece Puzzle,28.0,Everyone,37.44,Xbox,Yes,Epic Games,Activision,2010,Strategy,No,30.1,High,Excellent,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,1,-0.1333333333333333,Neutral
Half-Life: Alyx,38.9,Teen,47.71,Android/iOS,Yes,Capcom,Valve,2010,Fighting,Yes,52.6,Low,Good,Average,"Amazing game, but too many bugs.",Offline,10,0.23333333333333336,Positive
Bioshock Infinite,20.7,Teen,30.71,Android/iOS,Yes,Rockstar Games,Square Enix,2020,Strategy,No,19.7,Low,Good,Good,"Solid game, but the gameplay is amazing.",Online,3,0.0666666666666667,Neutral
Portal 2,26.4,Everyone 10+,31.59,Android/iOS,Yes,EA Sports,Valve,2017,Strategy,Yes,31.6,Ultra,Good,Excellent,"Great game, but the gameplay is amazing.",Offline,4,0.3333333333333333,Positive
Stardew Valley,37.4,Teen,51.56,PC,No,Game Freak,Epic Games,2017,Action,No,32.1,Low,Good,Excellent,"Solid game, but too many bugs.",Online,7,0.033333333333333326,Neutral
Hitman 3,27.6,Everyone 10+,22.16,PS4,No,Rockstar Games,Valve,2014,Fighting,Yes,50.3,Low,Poor,Good,"Disappointing game, but too many bugs.",Offline,2,-0.16666666666666666,Neutral
League of Legends,27.8,Mature,36.91,PC,Yes,Nintendo,Valve,2017,Action,No,26.1,Medium,Poor,Good,"Solid game, but the gameplay is amazing.",Offline,3,0.0666666666666667,Neutral
Cuphead,24.3,Teen,28.01,Switch,Yes,CD Projekt Red,Capcom,2019,Action,No,36.8,Low,Average,Average,"Great game, but too many bugs.",Offline,8,0.3,Positive
Bioshock Infinite,26.9,Everyone,43.55,Android/iOS,Yes,Epic Games,Square Enix,2018,Adventure,No,13.5,Medium,Excellent,Average,"Amazing game, but too many bugs.",Online,3,0.23333333333333336,Positive
Pillars of Eternity II: Deadfire,26.1,Mature,30.03,PC,Yes,Innersloth,Epic Games,2014,Role-Playing Game,No,41.7,High,Poor,Poor,"Amazing game, but the graphics could be better.",Online,6,0.23333333333333336,Positive
Sid Meier’s Civilization VI,41.3,Everyone,59.5,Android/iOS,No,CD Projekt Red,Capcom,2021,Sports,No,39.9,High,Good,Excellent,"Great game, but the gameplay is amazing.",Online,4,0.3333333333333333,Positive
Counter-Strike: Global Offensive,29.2,Teen,33.91,Android/iOS,Yes,Bungie,Take-Two Interactive,2018,Strategy,No,35.0,High,Excellent,Excellent,"Disappointing game, but the graphics could be better.",Offline,3,-0.16666666666666666,Neutral
1000-Piece Puzzle,32.5,Mature,42.15,Xbox,Yes,Rockstar Games,Innersloth,2011,Strategy,No,35.7,Medium,Excellent,Good,"Disappointing game, but too many bugs.",Online,1,-0.16666666666666666,Neutral
Animal Crossing: New Horizons,30.8,Mature,37.79,Xbox,No,Nintendo,Square Enix,2019,Shooter,No,34.4,Low,Average,Average,"Amazing game, but the graphics could be better.",Online,8,0.23333333333333336,Positive
FIFA 24,30.4,Everyone 10+,58.17,Switch,Yes,Capcom,Valve,2015,Adventure,Yes,8.3,Ultra,Excellent,Average,"Disappointing game, but the gameplay is amazing.",Online,4,-0.1333333333333333,Neutral
Counter-Strike: Global Offensive,30.2,Everyone,27.8,PS4,No,Epic Games,Take-Two Interactive,2011,Simulation,Yes,58.6,High,Good,Poor,"Great game, but too many bugs.",Online,3,0.3,Positive
Halo Infinite,32.8,Teen,28.08,PC,No,CD Projekt Red,Square Enix,2017,Sports,No,59.4,High,Good,Excellent,"Disappointing game, but the graphics could be better.",Online,5,-0.16666666666666666,Neutral
FIFA 24,30.1,Everyone,36.01,PS4,Yes,CD Projekt Red,Innersloth,2011,Fighting,No,42.1,Medium,Good,Good,"Solid game, but the graphics could be better.",Offline,4,0.033333333333333326,Neutral
Tekken 7,33.0,Everyone 10+,36.8,PC,No,Nintendo,Innersloth,2021,Adventure,Yes,42.8,Medium,Poor,Good,"Solid game, but too many bugs.",Offline,6,0.033333333333333326,Neutral
Tomb Raider (2013),38.9,Everyone,58.24,Xbox,No,Game Freak,Electronic Arts,2023,Simulation,No,39.0,Ultra,Average,Poor,"Solid game, but the graphics could be better.",Offline,1,0.033333333333333326,Neutral
The Sims 4,26.6,Mature,22.41,Switch,Yes,Epic Games,Valve,2010,Action,Yes,49.3,High,Average,Good,"Disappointing game, but the gameplay is amazing.",Offline,6,-0.1333333333333333,Neutral
Super Mario Odyssey,36.1,Mature,38.58,PS4,Yes,Rockstar Games,Activision,2018,Party,Yes,56.4,Ultra,Excellent,Average,"Disappointing game, but too many bugs.",Offline,10,-0.16666666666666666,Neutral
Stardew Valley,19.9,Teen,23.21,PS4,Yes,Bungie,Innersloth,2014,Adventure,No,28.2,Medium,Poor,Poor,"Great game, but the gameplay is amazing.",Offline,2,0.3333333333333333,Positive
Call of Duty: Modern Warfare 2,19.8,Mature,20.29,PS4,No,CD Projekt Red,Activision,2017,Shooter,No,29.0,Medium,Excellent,Poor,"Amazing game, but the gameplay is amazing.",Offline,6,0.2666666666666667,Positive
Among Us,39.8,Teen,53.78,Xbox,No,Valve,Valve,2010,Role-Playing Game,Yes,36.9,Ultra,Good,Good,"Solid game, but too many bugs.",Online,2,0.033333333333333326,Neutral
Super Smash Bros. Ultimate,27.5,Teen,47.51,PS4,Yes,Bungie,Capcom,2015,Adventure,Yes,8.6,High,Good,Excellent,"Disappointing game, but the graphics could be better.",Offline,5,-0.16666666666666666,Neutral
Ghost of Tsushima,29.4,Teen,51.4,PS4,Yes,Game Freak,Square Enix,2023,Puzzle,No,14.6,Ultra,Poor,Poor,"Solid game, but the gameplay is amazing.",Offline,1,0.0666666666666667,Neutral
Overwatch 2,29.4,Mature,38.6,PS4,Yes,EA Sports,Activision,2019,Role-Playing Game,No,38.9,Medium,Poor,Good,"Disappointing game, but too many bugs.",Online,6,-0.16666666666666666,Neutral
Kingdom Hearts III,32.3,Everyone,45.81,PS4,No,Rockstar Games,Capcom,2016,Simulation,No,28.7,Low,Excellent,Excellent,"Solid game, but the gameplay is amazing.",Online,7,0.0666666666666667,Neutral
Tekken 7,24.8,Teen,44.71,Xbox,No,Capcom,Take-Two Interactive,2011,Shooter,No,8.3,Ultra,Good,Excellent,"Disappointing game, but too many bugs.",Online,1,-0.16666666666666666,Neutral
Ghost of Tsushima,44.0,Everyone 10+,55.43,PC,No,CD Projekt Red,Square Enix,2011,Shooter,No,55.3,Ultra,Average,Average,"Disappointing game, but the gameplay is amazing.",Offline,2,-0.1333333333333333,Neutral
Halo Infinite,38.7,Everyone,55.29,Xbox,Yes,Epic Games,Valve,2013,Party,No,35.6,High,Good,Good,"Disappointing game, but too many bugs.",Offline,8,-0.16666666666666666,Neutral
The Sims 4,22.2,Everyone,32.72,Switch,Yes,CD Projekt Red,Square Enix,2012,Strategy,Yes,26.2,Low,Good,Good,"Disappointing game, but too many bugs.",Offline,10,-0.16666666666666666,Neutral
Portal 2,24.3,Teen,38.71,Switch,Yes,Innersloth,Activision,2021,Puzzle,Yes,16.9,Ultra,Excellent,Average,"Amazing game, but the graphics could be better.",Offline,8,0.23333333333333336,Positive
Among Us,32.9,Everyone 10+,37.98,PC,No,EA Sports,Innersloth,2011,Action,No,48.0,Low,Average,Good,"Solid game, but the graphics could be better.",Online,5,0.033333333333333326,Neutral
Counter-Strike: Global Offensive,18.0,Mature,22.14,Xbox,Yes,Valve,Nintendo,2023,Fighting,Yes,18.7,High,Excellent,Excellent,"Disappointing game, but too many bugs.",Online,7,-0.16666666666666666,Neutral
Hitman 3,17.8,Everyone 10+,31.3,PC,Yes,Bungie,Take-Two Interactive,2019,Puzzle,No,6.2,Medium,Excellent,Average,"Great game, but the graphics could be better.",Offline,1,0.3,Positive
The Elder Scrolls V: Skyrim,30.4,Everyone 10+,56.35,Switch,No,CD Projekt Red,Take-Two Interactive,2017,Simulation,No,5.2,Medium,Good,Poor,"Disappointing game, but the graphics could be better.",Offline,3,-0.16666666666666666,Neutral
Street Fighter V,31.4,Everyone 10+,35.73,Switch,No,Rockstar Games,Activision,2014,Adventure,No,41.7,High,Good,Excellent,"Great game, but too many bugs.",Offline,8,0.3,Positive
Cuphead,35.0,Everyone 10+,46.54,Android/iOS,Yes,Game Freak,Activision,2022,Adventure,No,40.1,Low,Poor,Poor,"Disappointing game, but the graphics could be better.",Offline,1,-0.16666666666666666,Neutral
Cuphead,42.7,Everyone 10+,54.31,Switch,No,Bungie,Electronic Arts,2020,Role-Playing Game,No,57.2,Medium,Poor,Average,"Solid game, but the gameplay is amazing.",Online,10,0.0666666666666667,Neutral
Fall Guys,20.2,Everyone,22.37,PC,Yes,Epic Games,Electronic Arts,2016,Fighting,No,34.4,Low,Poor,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,1,-0.1333333333333333,Neutral
Overwatch 2,18.2,Mature,29.98,Android/iOS,Yes,Bungie,Epic Games,2011,Adventure,No,11.9,Medium,Poor,Excellent,"Amazing game, but the gameplay is amazing.",Offline,4,0.2666666666666667,Positive
Just Dance 2024,38.9,Everyone,50.74,Android/iOS,No,Rockstar Games,Nintendo,2016,Sports,No,43.7,Ultra,Average,Excellent,"Solid game, but the gameplay is amazing.",Offline,2,0.0666666666666667,Neutral
Hitman 3,27.8,Everyone,45.24,PC,Yes,CD Projekt Red,Take-Two Interactive,2010,Role-Playing Game,Yes,21.8,Low,Average,Excellent,"Disappointing game, but the graphics could be better.",Offline,6,-0.16666666666666666,Neutral
1000-Piece Puzzle,27.5,Mature,42.24,PC,No,Nintendo,Electronic Arts,2022,Strategy,No,17.6,Medium,Average,Good,"Amazing game, but the gameplay is amazing.",Online,7,0.2666666666666667,Positive
Cuphead,43.7,Mature,53.04,PS4,No,Epic Games,Innersloth,2018,Simulation,Yes,52.2,Ultra,Average,Poor,"Amazing game, but too many bugs.",Offline,2,0.23333333333333336,Positive
Pokémon Scarlet & Violet,36.6,Teen,39.34,Switch,No,Valve,Capcom,2018,Adventure,Yes,51.7,Low,Good,Poor,"Amazing game, but too many bugs.",Offline,6,0.23333333333333336,Positive
Tetris,40.3,Everyone,53.12,PS4,Yes,Capcom,Square Enix,2010,Shooter,No,48.6,Medium,Excellent,Poor,"Solid game, but the graphics could be better.",Offline,3,0.033333333333333326,Neutral
Just Dance 2024,25.0,Everyone,26.94,Android/iOS,No,EA Sports,Epic Games,2019,Action,Yes,40.0,Low,Good,Average,"Disappointing game, but too many bugs.",Online,4,-0.16666666666666666,Neutral
The Witcher 3: Wild Hunt,25.6,Everyone,28.94,PS4,Yes,CD Projekt Red,Capcom,2019,Shooter,No,39.0,Ultra,Good,Poor,"Great game, but too many bugs.",Offline,8,0.3,Positive
Stardew Valley,40.5,Everyone 10+,51.71,PC,Yes,Capcom,Valve,2023,Party,Yes,46.7,Low,Good,Poor,"Amazing game, but too many bugs.",Offline,10,0.23333333333333336,Positive
Pillars of Eternity II: Deadfire,31.4,Everyone 10+,40.5,Switch,No,Innersloth,Innersloth,2017,Puzzle,No,36.0,Medium,Excellent,Good,"Amazing game, but too many bugs.",Offline,1,0.23333333333333336,Positive
Tetris,29.5,Mature,39.79,Android/iOS,Yes,Rockstar Games,Electronic Arts,2018,Sports,Yes,28.2,Low,Good,Average,"Great game, but the graphics could be better.",Online,5,0.3,Positive
Overwatch 2,23.5,Mature,23.2,Xbox,Yes,Bungie,Activision,2010,Adventure,Yes,44.9,Ultra,Excellent,Good,"Solid game, but the gameplay is amazing.",Online,1,0.0666666666666667,Neutral
Pillars of Eternity II: Deadfire,33.7,Everyone,59.39,PC,No,Epic Games,Activision,2023,Shooter,Yes,15.4,Low,Good,Excellent,"Disappointing game, but too many bugs.",Offline,3,-0.16666666666666666,Neutral
Portal 2,18.5,Teen,29.84,PS4,No,Bungie,Nintendo,2012,Sports,Yes,6.9,Low,Poor,Poor,"Disappointing game, but the gameplay is amazing.",Offline,8,-0.1333333333333333,Neutral
Minecraft,37.0,Mature,53.41,Android/iOS,No,EA Sports,Activision,2021,Fighting,Yes,37.5,Medium,Excellent,Good,"Great game, but the graphics could be better.",Offline,10,0.3,Positive
Portal 2,43.1,Teen,52.64,PC,No,Rockstar Games,Epic Games,2019,Party,Yes,51.1,Ultra,Good,Excellent,"Solid game, but the graphics could be better.",Online,6,0.033333333333333326,Neutral
Super Smash Bros. Ultimate,30.9,Teen,34.23,Switch,No,Epic Games,Activision,2014,Sports,Yes,43.4,High,Poor,Good,"Great game, but too many bugs.",Offline,1,0.3,Positive
League of Legends,41.1,Mature,51.69,Android/iOS,No,Bungie,Square Enix,2012,Puzzle,No,51.2,Medium,Excellent,Excellent,"Solid game, but too many bugs.",Online,8,0.033333333333333326,Neutral
Halo Infinite,36.3,Everyone,55.35,PS4,Yes,Innersloth,Take-Two Interactive,2019,Puzzle,No,27.8,High,Good,Good,"Solid game, but too many bugs.",Offline,6,0.033333333333333326,Neutral
Portal 2,34.3,Everyone 10+,30.55,Switch,No,Epic Games,Nintendo,2014,Puzzle,No,59.0,Medium,Poor,Excellent,"Solid game, but too many bugs.",Online,5,0.033333333333333326,Neutral
Tomb Raider (2013),33.0,Everyone,28.85,PS4,Yes,EA Sports,Valve,2013,Fighting,Yes,59.3,High,Poor,Good,"Amazing game, but too many bugs.",Online,1,0.23333333333333336,Positive
Red Dead Redemption 2,22.1,Everyone 10+,26.84,Xbox,No,Bungie,Epic Games,2016,Strategy,Yes,24.7,Medium,Good,Average,"Great game, but the graphics could be better.",Offline,1,0.3,Positive
Tomb Raider (2013),34.1,Everyone,49.54,Switch,No,Epic Games,Square Enix,2020,Puzzle,No,28.2,Low,Poor,Good,"Disappointing game, but the gameplay is amazing.",Online,4,-0.1333333333333333,Neutral
Pillars of Eternity II: Deadfire,19.8,Teen,22.57,Android/iOS,No,Game Freak,Valve,2018,Shooter,No,29.4,Ultra,Poor,Excellent,"Great game, but the graphics could be better.",Offline,3,0.3,Positive
Cuphead,25.9,Mature,28.85,Switch,No,EA Sports,Epic Games,2016,Role-Playing Game,No,37.2,High,Poor,Good,"Great game, but too many bugs.",Online,8,0.3,Positive
Tetris,44.0,Teen,58.48,PC,No,EA Sports,Nintendo,2011,Fighting,Yes,52.3,High,Excellent,Poor,"Amazing game, but the gameplay is amazing.",Online,1,0.2666666666666667,Positive
Hades,42.9,Everyone 10+,54.95,PC,No,Innersloth,Electronic Arts,2014,Adventure,No,54.4,Medium,Good,Good,"Solid game, but too many bugs.",Online,3,0.033333333333333326,Neutral
The Elder Scrolls V: Skyrim,14.8,Everyone,20.25,PC,Yes,Epic Games,Electronic Arts,2023,Action,No,19.0,Ultra,Poor,Poor,"Solid game, but the gameplay is amazing.",Offline,1,0.0666666666666667,Neutral
Kingdom Hearts III,37.3,Mature,38.01,Android/iOS,No,Rockstar Games,Square Enix,2019,Sports,Yes,56.7,Medium,Average,Excellent,"Disappointing game, but the gameplay is amazing.",Online,6,-0.1333333333333333,Neutral
Animal Crossing: New Horizons,28.7,Teen,42.74,PS4,No,Valve,Square Enix,2010,Role-Playing Game,Yes,24.5,Low,Good,Average,"Disappointing game, but too many bugs.",Offline,5,-0.16666666666666666,Neutral
The Legend of Zelda: Breath of the Wild,14.3,Everyone,25.63,PS4,Yes,Nintendo,Valve,2012,Party,No,10.4,Ultra,Average,Poor,"Amazing game, but the gameplay is amazing.",Online,1,0.2666666666666667,Positive
Stardew Valley,27.3,Everyone,35.67,Switch,No,Innersloth,Activision,2011,Sports,No,37.4,Low,Good,Average,"Great game, but the graphics could be better.",Online,4,0.3,Positive
